Game ID,Game Name,Other_Sales,Global_Sales,Rating
1,Wii Sports,8.46,82.74,E
2,Super Mario Bros.,0.77,40.24,T
3,Mario Kart Wii,3.31,35.82,E
4,Wii Sports Resort,2.96,33,E
5,Pokemon Red/Pokemon Blue,1,31.37,T
6,Tetris,0.58,30.26,T
7,New Super Mario Bros.,2.9,30.01,E
8,Wii Play,2.85,29.02,E
9,New Super Mario Bros. Wii,2.26,28.62,E
10,Duck Hunt,0.47,28.31,T
11,Nintendogs,2.75,24.76,T
12,Mario Kart DS,1.92,23.42,E
13,Pokemon Gold/Pokemon Silver,0.71,23.1,T
14,Wii Fit,2.15,22.72,E
15,Wii Fit Plus,1.79,22,E
16,Kinect Adventures!,1.67,21.82,E
17,Grand Theft Auto V,4.14,21.4,M
18,Grand Theft Auto: San Andreas,10.57,20.81,M
19,Super Mario World,0.55,20.61,T
20,Brain Age: Train Your Brain in Minutes a Day,2.05,20.22,E
21,Pokemon Diamond/Pokemon Pearl,1.37,18.36,T
22,Super Mario Land,0.42,18.14,T
23,Super Mario Bros. 3,0.46,17.28,T
24,Grand Theft Auto V,1.38,16.38,M
25,Grand Theft Auto: Vice City,1.78,16.15,M
26,Pokemon Ruby/Pokemon Sapphire,0.5,15.85,T
27,Pokemon Black/Pokemon White,0.82,15.32,E
28,Brain Age 2: More Training in Minutes a Day,1.18,15.3,T
29,Gran Turismo 3: A-Spec,1.16,14.98,E
30,Call of Duty: Modern Warfare 3,1.32,14.76,M
31,Pokémon Yellow: Special Pikachu Edition,0.59,14.64,T
32,Call of Duty: Black Ops,1.13,14.64,T
33,Pokemon X/Pokemon Y,0.79,14.35,M
34,Call of Duty: Black Ops 3,2.31,14.24,T
35,Call of Duty: Black Ops II,2.52,14.03,M
36,Call of Duty: Black Ops II,1.12,13.73,M
37,Call of Duty: Modern Warfare 2,1.29,13.51,M
38,Call of Duty: Modern Warfare 3,1.62,13.46,M
39,Grand Theft Auto III,1.3,13.1,M
40,Super Smash Bros. Brawl,1.02,13.04,T
41,Call of Duty: Black Ops,1.83,12.73,E
42,Animal Crossing: Wild World,0.88,12.27,M
43,Mario Kart 7,0.89,12.21,M
44,Halo 3,1.21,12.14,E
45,Grand Theft Auto V,2.02,11.98,M
46,Pokemon HeartGold/Pokemon SoulSilver,0.77,11.9,T
47,Super Mario 64,0.23,11.89,T
48,Gran Turismo 4,7.53,11.66,T
49,Super Mario Galaxy,0.76,11.52,E
50,Pokemon Omega Ruby/Pokemon Alpha Sapphire,0.65,11.33,E
51,Super Mario Land 2: 6 Golden Coins,0.29,11.18,T
52,Grand Theft Auto IV,1.03,11.02,M
53,Gran Turismo,0.52,10.95,E
54,Super Mario 3D Land,0.78,10.79,E
55,Gran Turismo 5,2.12,10.77,E
56,Call of Duty: Modern Warfare 2,1.63,10.69,M
57,Grand Theft Auto IV,1.62,10.57,T
58,Super Mario All-Stars,0.29,10.55,M
59,Pokemon FireRed/Pokemon LeafGreen,0.35,10.49,T
60,Super Mario 64,0.98,10.42,T
61,Just Dance 3,1.07,10.26,M
62,Call of Duty: Ghosts,0.82,10.21,E10+
63,Halo: Reach,0.78,9.88,E
64,Mario Kart 64,0.15,9.87,T
65,New Super Mario Bros. 2,0.63,9.82,M
66,Halo 4,0.73,9.76,T
67,Final Fantasy VII,0.96,9.72,M
68,Call of Duty: Ghosts,1.38,9.59,T
69,Just Dance 2,0.78,9.52,E10+
70,Gran Turismo 2,0.5,9.49,M
71,Call of Duty 4: Modern Warfare,0.9,9.32,M
72,Donkey Kong Country,0.23,9.3,T
73,Minecraft,0.77,9.2,T
74,Animal Crossing: New Leaf,0.41,9.09,E
75,Mario Party DS,0.7,9.02,E
76,The Elder Scrolls V: Skyrim,0.85,8.84,M
77,Super Mario Kart,0.18,8.76,T
78,FIFA 16,1.26,8.49,E
79,Wii Party,0.68,8.49,M
80,Halo 2,0.08,8.49,E
81,Mario Party 8,0.73,8.42,E
82,Pokemon Black 2/Pokemon White 2,0.43,8.33,E
83,FIFA Soccer 13,2.01,8.24,T
84,The Sims 3,0.71,8.11,T
85,GoldenEye 007,0.15,8.09,T
86,Mario & Sonic at the Olympic Games,0.91,8.06,T
87,Final Fantasy X,0.33,8.05,T
88,Final Fantasy VIII,0.23,7.86,T
89,Pokémon Platinum Version,0.55,7.84,T
90,Pac-Man,0.08,7.81,T
91,Grand Theft Auto: Liberty City Stories,1.75,7.72,E
92,Super Mario Galaxy 2,0.64,7.69,M
93,Star Wars Battlefront (2015),1.23,7.67,M
94,Call of Duty: Advanced Warfare,1.37,7.6,T
95,The Legend of Zelda: Ocarina of Time,0.16,7.6,E
96,Crash Bandicoot 2: Cortex Strikes Back,0.31,7.58,T
97,Super Mario Bros. 2,0.19,7.46,T
98,Super Smash Bros. for Wii U and 3DS,0.43,7.45,E
99,Call of Duty: World at War,0.69,7.37,T
100,Battlefield 3,0.69,7.34,T
101,The Legend of Zelda: Twilight Princess,0.7,7.31,M
102,Call of Duty: Black Ops 3,0.67,7.3,M
103,Just Dance,0.73,7.27,E
104,Battlefield 3,1.1,7.23,E10+
105,Need for Speed Underground,1.02,7.2,M
106,Tekken 3,0.29,7.16,M
107,Crash Bandicoot 3: Warped,0.28,7.13,T
108,Super Smash Bros. Melee,0.22,7.07,T
109,Mario Kart 8,0.49,6.96,T
110,Fallout 4,1.1,6.96,E
111,Mario Kart: Double Dash!!,0.19,6.95,E
112,Just Dance 4,0.56,6.91,T
113,FIFA 14,1.73,6.9,T
114,Need for Speed Underground 2,1.09,6.9,E
115,Medal of Honor: Frontline,0.99,6.83,T
116,Uncharted 3: Drake's Deception,1.06,6.83,T
117,Crash Bandicoot,0.3,6.82,E10+
118,Zumba Fitness,0.67,6.81,M
119,Gears of War 2,0.64,6.76,T
120,Uncharted 2: Among Thieves,1,6.73,E
121,Call of Duty 4: Modern Warfare,1.04,6.72,M
122,FIFA 12,1.42,6.69,T
123,Big Brain Academy,0.62,6.67,T
124,Red Dead Redemption,1.03,6.6,E
125,FIFA 15,1.47,6.59,T
126,Donkey Kong Country Returns,0.47,6.59,M
127,The Elder Scrolls V: Skyrim,1.05,6.56,E
128,The Legend of Zelda,0.14,6.51,M
129,Assassin's Creed III,1.14,6.5,E
130,Halo: Combat Evolved,0.07,6.43,M
131,Pokémon Emerald Version,0.21,6.41,M
132,Kingdom Hearts,0.07,6.4,E
133,Pokémon Crystal Version,0.99,6.39,E
134,Halo 3: ODST,0.61,6.36,T
135,Red Dead Redemption,0.57,6.34,M
136,Super Mario Sunshine,0.17,6.31,M
137,Street Fighter II: The World Warrior,0.12,6.3,E
138,World of Warcraft,0.9,6.28,T
139,Driver,0.33,6.27,T
140,Kinect Sports,0.51,6.24,T
141,Gears of War 3,0.49,6.24,M
142,Gears of War,0.6,6.11,E10+
143,Metal Gear Solid 2: Sons of Liberty,0.72,6.05,M
144,Sonic the Hedgehog 2,0.19,6.03,E
145,Metal Gear Solid 4: Guns of the Patriots,0.83,6.03,M
146,Metal Gear Solid,0.24,6.03,T
147,The Last of Us,1.01,5.99,M
148,Final Fantasy XII,1.74,5.95,M
149,LittleBigPlanet,0.9,5.92,T
150,Dragon Quest IX: Sentinels of the Starry Skies,0.15,5.84,M
151,LEGO Star Wars: The Complete Saga,0.53,5.83,E
152,Resident Evil 2,0.45,5.82,M
153,Tekken 2,0.23,5.74,E10+
154,Cooking Mama,0.58,5.72,T
155,Destiny,0.96,5.65,T
156,Tetris,0.11,5.58,E10+
157,Assassin's Creed II,0.87,5.57,E
158,Super Smash Bros.,0.04,5.55,T
159,Assassin's Creed,0.55,5.55,T
160,Batman: Arkham City,0.8,5.53,M
161,Forza Motorsport 3,0.51,5.51,M
162,Monster Hunter Freedom Unite,0.34,5.5,E
